Date,value_gold,value_oil,value_silver,value_ruth,value_irid,value_pall,value_rhod,value_plat
2015-05-07,0.8410991499999999,1.0000505,0.9999907500000002,0.99792,1.0013,0.92294,0.99975,1.00022
2015-05-08,0.8529929999999999,1.0000505,0.9998261500000001,0.99742,1.0013,0.93086,0.99975,1.00022
2015-05-11,0.8648573499999999,1.0000505,0.9998261500000001,0.99692,1.0013,0.93886,0.99975,0.98878
2015-05-12,0.8767548499999999,1.0000505,0.9998261500000001,0.99642,1.0013,0.931,0.99975,0.97743
2015-05-13,0.8648971999999999,1.0000505,0.9996632500000001,0.99642,1.0013,0.93882,0.99975,0.96609
2015-05-14,0.8529477999999998,1.0000505,0.99982915,0.99642,1.0013,0.93882,0.99975,0.97755
2015-05-15,0.8407877999999999,1.0000505,0.99982915,0.99592,1.0013,0.93098,0.98865,0.97755
2015-05-18,0.8530041999999999,1.0000505,0.9996550000000002,0.99642,1.0013,0.93885,0.99965,0.9659
2015-05-19,0.8530041999999999,1.0000505,0.9998313500000001,0.99592,1.0013,0.94685,0.99965,0.95416
2015-05-20,0.8407650499999999,1.0000505,0.9998313500000001,0.99642,1.0013,0.95469,0.99965,0.96577
2015-05-21,0.8407650499999999,1.0000505,1.0000022000000002,0.99692,1.0013,0.96251,0.98865,0.95419
2015-05-22,0.8528897499999999,1.0000505,1.0000022000000002,0.99742,1.0013,0.97028,0.98865,0.9657
2015-05-26,0.8407690499999998,1.0000505,1.0000022000000002,0.99792,1.0013,0.97804,0.99945,0.97718
2015-05-27,0.8287308499999998,1.0000505,0.9998323000000001,0.99842,1.0013,0.97017,0.99945,0.97718
2015-05-28,0.8287308499999998,1.0000505,0.9996643500000001,0.99892,1.0013,0.97017,0.99945,0.97718
2015-06-02,0.8168285499999998,1.0000505,0.9998315500000001,0.99942,1.0013,0.96232,0.99945,0.98837
2015-06-03,0.8168285499999998,1.0000505,0.9998315500000001,0.99992,1.0013,0.96232,0.99945,0.99946
2015-06-04,0.8287694499999998,1.0000505,0.9998315500000001,0.99992,1.0013,0.96997,0.99945,0.99946
2015-06-05,0.8406272499999997,1.0000505,0.99999665,0.99992,1.0013,0.9624,0.99945,0.99946
2015-06-08,0.8406272499999997,0.9994593999999999,0.99999665,0.99992,1.0013,0.95491,0.99945,0.98856
2015-06-09,0.8523796999999997,0.9994593999999999,0.99999665,0.99992,1.0013,0.95491,0.99945,0.98856
2015-06-10,0.8405985499999997,0.9994593999999999,0.99999665,0.99992,1.0013,0.94745,0.99945,0.97744
2015-06-11,0.8287759499999997,0.9994593999999999,0.99999665,0.99992,1.0013,0.93995,0.99945,0.98865
2015-06-12,0.8169008999999997,1.0000668,0.99983645,0.99992,1.0013,0.94741,0.99945,0.99974
2015-06-15,0.8050607499999997,0.9994671999999999,0.9996762000000001,0.99992,1.0013,0.95481,0.99945,0.99974
2015-06-16,0.8168979999999998,1.0000624999999999,0.9996762000000001,0.99992,1.0013,0.96218,0.99945,0.9889
2015-06-17,0.8168979999999998,1.0000624999999999,0.9998370500000001,0.99992,1.0013,0.96955,0.99945,0.9889
2015-06-18,0.8287227499999998,1.0000624999999999,0.9999972500000002,0.99992,1.0013,0.97688,0.99945,0.9889
2015-06-19,0.8168177499999998,1.0000624999999999,0.9999972500000002,0.99992,1.0013,0.98414,0.9898,0.97797
